item,idx,task,answer,teacher_sheet,student_sheet,pred_teacher,pred_student,ok_teacher,ok_student,margin_teacher,margin_student,recall_traj,recall_P,recall_S,iou_kept,stem,window_end,evidence_gap,episodes_in_window,conc_teacher,conc_student,pct_kept,ckpt_teacher,ckpt_vit_lora,ckpt_student
sg_idx102_past_non_fixated_object_identification,102,past_non_fixated_object_identification,B,M1_teacher/sheets/sg_idx102_past_non_fixated_object_identification.png,ViT-KD_raw_video/sheets/sg_idx102_past_non_fixated_object_identification.png,B,B,True,True,0.977,0.9884,0.4831,0.4884,0.5623,0.323,OP04-R03-BaconAndEggs,139.0,1.5,1,0.1856,0.1096,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx284_present_object_attribute_recognition,284,present_object_attribute_recognition,C,M1_teacher/sheets/sg_idx284_present_object_attribute_recognition.png,ViT-KD_raw_video/sheets/sg_idx284_present_object_attribute_recognition.png,C,C,True,True,0.9945,0.9916,0.3889,0.4638,0.5217,0.3017,OP01-R06-GreekSalad,605.3,4.58,3,0.1743,0.1349,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx31_past_gaze_sequence_matching,31,past_gaze_sequence_matching,D,M1_teacher/sheets/sg_idx31_past_gaze_sequence_matching.png,ViT-KD_raw_video/sheets/sg_idx31_past_gaze_sequence_matching.png,D,D,True,True,0.9739,0.7985,0.4928,0.4862,0.5667,0.3211,OP04-R03-BaconAndEggs,275.9,2.18,2,0.1523,0.0929,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx302_present_object_attribute_recognition,302,present_object_attribute_recognition,C,M1_teacher/sheets/sg_idx302_present_object_attribute_recognition.png,ViT-KD_raw_video/sheets/sg_idx302_present_object_attribute_recognition.png,C,C,True,True,0.9768,0.9511,0.4565,0.4768,0.5572,0.3129,OP03-R01-PastaSalad,641.0,4.79,9,0.1662,0.1161,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx144_past_scene_recall,144,past_scene_recall,A,M1_teacher/sheets/sg_idx144_past_scene_recall.png,ViT-KD_raw_video/sheets/sg_idx144_past_scene_recall.png,A,A,True,True,0.8977,0.4529,0.4251,0.471,0.5283,0.3079,OP03-R01-PastaSalad,272.9,3.06,3,0.1623,0.1233,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx303_present_object_attribute_recognition,303,present_object_attribute_recognition,D,M1_teacher/sheets/sg_idx303_present_object_attribute_recognition.png,ViT-KD_raw_video/sheets/sg_idx303_present_object_attribute_recognition.png,D,D,True,True,0.9855,0.8023,0.4614,0.4725,0.5514,0.3092,OP03-R01-PastaSalad,701.5,5.12,10,0.1752,0.1061,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx188_present_future_action_prediction,188,present_future_action_prediction,A,M1_teacher/sheets/sg_idx188_present_future_action_prediction.png,ViT-KD_raw_video/sheets/sg_idx188_present_future_action_prediction.png,A,A,True,True,0.3868,0.2968,0.3744,0.4732,0.5341,0.3098,OP01-R06-GreekSalad,165.7,413.72,2,0.1829,0.1337,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx190_present_future_action_prediction,190,present_future_action_prediction,C,M1_teacher/sheets/sg_idx190_present_future_action_prediction.png,ViT-KD_raw_video/sheets/sg_idx190_present_future_action_prediction.png,C,C,True,True,0.9935,0.9489,0.3527,0.4551,0.5203,0.2944,OP01-R07-Pizza,134.0,479.83,1,0.1973,0.1405,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx497_present_object_identification_hard,497,present_object_identification_hard,C,M1_teacher/sheets/sg_idx497_present_object_identification_hard.png,ViT-KD_raw_video/sheets/sg_idx497_present_object_identification_hard.png,C,C,True,True,0.9982,0.9743,0.3438,0.4626,0.528,0.3,OP03-R06-GreekSalad,2.0,23.67,1,0.1056,0.1422,9.954,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx65_past_non_fixated_object_identification,65,past_non_fixated_object_identification,D,M1_teacher/sheets/sg_idx65_past_non_fixated_object_identification.png,ViT-KD_raw_video/sheets/sg_idx65_past_non_fixated_object_identification.png,D,D,True,True,0.9209,0.9473,0.3647,0.4594,0.5319,0.2981,OP01-R01-PastaSalad,140.9,1.89,2,0.1884,0.1315,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx274_present_object_attribute_recognition,274,present_object_attribute_recognition,D,M1_teacher/sheets/sg_idx274_present_object_attribute_recognition.png,ViT-KD_raw_video/sheets/sg_idx274_present_object_attribute_recognition.png,D,D,True,True,0.9737,0.8055,0.4348,0.4775,0.5507,0.3135,OP01-R03-BaconAndEggs,549.7,4.42,4,0.1524,0.1111,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx204_present_future_action_prediction,204,present_future_action_prediction,C,M1_teacher/sheets/sg_idx204_present_future_action_prediction.png,ViT-KD_raw_video/sheets/sg_idx204_present_future_action_prediction.png,C,C,True,True,0.9504,0.6833,0.4203,0.4775,0.5413,0.3135,OP03-R01-PastaSalad,236.2,39.76,3,0.1726,0.1188,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx7_past_gaze_sequence_matching,7,past_gaze_sequence_matching,A,M1_teacher/sheets/sg_idx7_past_gaze_sequence_matching.png,ViT-KD_raw_video/sheets/sg_idx7_past_gaze_sequence_matching.png,A,A,True,True,0.9664,0.6535,0.3357,0.4507,0.5268,0.2908,OP01-R05-Cheeseburger,286.8,2.66,3,0.1766,0.1342,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx172_present_future_action_prediction,172,present_future_action_prediction,D,M1_teacher/sheets/sg_idx172_present_future_action_prediction.png,ViT-KD_raw_video/sheets/sg_idx172_present_future_action_prediction.png,D,D,True,True,0.5193,0.5341,0.4082,0.4667,0.5384,0.3042,OP01-R01-PastaSalad,78.4,64.39,2,0.1848,0.1195,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx368_present_object_identification_easy,368,present_object_identification_easy,D,M1_teacher/sheets/sg_idx368_present_object_identification_easy.png,ViT-KD_raw_video/sheets/sg_idx368_present_object_identification_easy.png,D,D,True,True,0.9957,0.9984,0.3483,0.4536,0.5169,0.2932,OP01-R03-BaconAndEggs,11.0,28.21,1,0.1971,0.1253,9.992,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx140_past_scene_recall,140,past_scene_recall,D,M1_teacher/sheets/sg_idx140_past_scene_recall.png,ViT-KD_raw_video/sheets/sg_idx140_past_scene_recall.png,D,D,True,True,0.8526,0.369,0.3696,0.458,0.5232,0.2969,OP01-R07-Pizza,131.0,1.12,0,0.1686,0.1232,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
